scan_index,step,angle_deg,distance_cm
3,13000,62.58,8.7
3,13025,64.78,9.57
3,13050,66.97,10.46
3,13075,69.17,16.33
3,13100,71.37,11.95
3,13125,73.56,9.0
3,13150,75.76,9.86
3,13175,77.96,8.68
3,13200,80.16,8.7
3,13225,82.35,9.59
3,13250,84.55,8.4
3,13275,86.75,8.4
3,13300,88.95,8.4
3,13325,91.14,9.28
3,13350,93.34,9.9
3,13375,95.54,10.19
3,13400,97.73,9.3
3,13425,99.93,9.3
3,13450,102.13,9.31
3,13475,104.33,10.19
3,13500,106.52,16.31
3,13525,108.72,12.26
3,13550,110.92,11.37
3,13575,113.12,11.35
3,13600,115.31,11.39
3,13625,117.51,11.37
3,13650,119.71,11.35
3,13675,121.9,11.35
3,13700,124.1,11.37
3,13725,126.3,12.28
3,13750,128.5,16.31
3,13775,130.69,16.33
3,13800,132.89,17.29
3,13825,135.09,17.3
3,13850,137.29,11.95
3,13875,139.48,12.86
3,13900,141.68,9.9
3,13925,143.88,9.9
3,13950,146.07,9.86
3,13975,148.27,9.9
3,14000,150.47,10.5
3,14025,152.67,7.79
3,14050,154.86,7.89
3,14075,157.06,7.8
3,14100,159.26,7.8
3,14125,161.46,9.59
3,14150,163.65,9.88
3,14175,165.85,8.99
3,14200,168.05,11.95
3,14225,170.24,10.19
3,14250,172.44,9.28
3,14275,174.64,12.25
3,14300,176.84,9.59
3,14325,179.03,8.68
3,14350,181.23,8.7
3,14375,183.43,11.66
3,14400,185.63,10.75
3,14425,187.82,9.88
3,14450,190.02,12.86
3,14475,192.22,11.95
3,14500,194.41,16.33
3,14525,196.61,16.33
3,14550,198.81,16.31
3,14575,201.01,11.37
3,14600,203.2,10.48
3,14625,205.4,10.5
3,14650,207.6,10.5
3,14675,209.79,10.48
3,14700,211.99,9.59
3,14725,214.19,9.59
3,14750,216.39,9.6
3,14775,218.58,9.3
3,14800,220.78,8.7
3,14825,222.98,8.39
3,14850,225.18,7.8
3,14875,227.37,7.8
3,14900,229.57,7.8
3,14925,231.77,8.97
3,14950,233.96,8.09
3,14975,236.16,9.28
3,15000,238.36,8.39
3,15025,240.56,10.46
3,15050,242.75,8.71
3,15075,244.95,7.79
3,15100,247.15,9.9
3,15125,249.35,8.97
3,15150,251.54,15.02
3,15175,253.74,16.34
3,15200,255.94,8.4
3,15225,258.13,8.39
3,15250,260.33,10.48
3,15275,262.53,10.46
3,15300,264.73,10.46
3,15325,266.92,9.57
3,15350,269.12,9.59
3,15375,271.32,9.59
3,15400,273.52,9.59
3,15425,275.71,9.3
3,15450,277.91,7.49
3,15475,280.11,6.62
3,15500,282.3,6.62
3,15525,284.5,6.6
3,15550,286.7,6.62
3,15575,288.9,6.62
3,15600,291.09,6.6
3,15625,293.29,7.79
3,15650,295.49,6.91
3,15675,297.69,6.91
3,15700,299.88,8.99
3,15725,302.08,8.11
3,15750,304.28,8.08
3,15775,306.47,9.3
3,15800,308.67,8.39
3,15825,310.87,7.49
3,15850,313.07,7.51
3,15875,315.26,7.49
3,15900,317.46,7.49
3,15925,319.66,7.51
3,15950,321.86,7.51
3,15975,324.05,7.49
3,16000,326.25,7.49
3,16025,328.45,8.4
3,16050,330.64,9.28
3,16075,332.84,7.2
3,16100,335.04,7.22
3,16125,337.24,7.2
3,16150,339.43,8.7
3,16175,341.63,6.91
3,16200,343.83,6.89
3,16225,346.03,6.91
3,16250,348.22,6.91
3,16275,350.42,7.51
3,16300,352.62,7.49
3,16325,354.81,7.79
3,16350,357.01,6.91
